VCD info: dumpfile state_tb.vcd opened for output.
         0 CLK=0 : cur=xx RESETL=1 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=x, min_onoff=x, hour_onoff=x
       500 CLK=1 : cur=xx RESETL=1 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=x, min_onoff=x, hour_onoff=x
      1000 CLK=0 : cur=00 RESETL=0 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      1500 CLK=1 : cur=00 RESETL=0 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      2000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      2500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      3000 CLK=0 : cur=00 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      3500 CLK=1 : cur=00 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      4000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      4500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
      5000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
      5500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      6000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      6500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      7000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
      7500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
      8000 CLK=0 : cur=01 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=0, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
